trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-2001,2025-08-01T08:00:00Z,BTC-USD,BUY,1.00,65000.00,65000.00,SETTLED
T-2002,2025-08-01T09:30:00Z,ETH-USD,BUY,5.00,3200.00,16000.00,SETTLED
T-2003,2025-08-01T10:15:00Z,SOL-USD,SELL,150.00,180.00,27000.00,SETTLED
T-2004,2025-08-01T11:00:00Z,BTC-USD,BUY,0.25,64800.00,16200.00,SETTLED
T-2005,2025-08-01T12:00:00Z,AVAX-USD,BUY,200.00,25.00,5000.00,SETTLED
T-2006,2025-08-01T13:10:00Z,ETH-USD,SELL,2.50,3250.00,8125.00,SETTLED
T-2007,2025-08-01T14:00:00Z,LINK-USD,BUY,500.00,14.50,7250.00,CANCELLED
T-2008,2025-08-01T15:00:00Z,BTC-USD,BUY,0.10,65200.00,6520.00,SETTLED
T-2009,2025-08-01T16:20:00Z,SOL-USD,BUY,80.00,182.00,14560.00,SETTLED
T-2010,2025-08-01T17:00:00Z,NEAR-USD,BUY,1000.00,4.50,4500.00,SETTLED
T-2011,2025-08-01T18:30:00Z,ETH-USD,BUY,4.00,3180.00,12720.00,SETTLED
T-2012,2025-08-01T19:45:00Z,BTC-USD,SELL,0.50,65100.00,32550.00,SETTLED
