reference,executed_at,symbol,direction,qty,unit_price,total,status
T-2001,2025-08-01 08:00:00,BTC-USD,B,1.0,65000,65000.00,SETTLED
T-2002,2025-08-01 09:30:00,ETH-USD,B,5,3200,16000.00,SETTLED
T-2003,2025-08-01 10:15:00,SOL-USD,S,150,180,27000.04,SETTLED
T-2004,2025-08-01 11:35:00,BTC-USD,B,0.25,64800,16200.00,SETTLED
T-2005,2025-08-01 12:00:00,AVAX-USD,B,200,27,5400.00,SETTLED
T-2006,2025-08-01 13:10:00,ETH-USD,S,3.0,3250,9750.00,SETTLED
T-2008,2025-08-01 15:00:00,BTC-USD,B,0.1,65200,6520.00,SETTLED
T-2011,2025-08-01 18:30:00,ETH-USD,B,4,3180,12720.00,SETTLED
EXT-9001,2025-08-01 17:05:00,NEAR-USD,B,1000,4.5,4500.00,SETTLED
EXT-9002,2025-08-01 19:00:00,DOT-USD,B,500,6.2,3100.00,SETTLED
EXT-9003,2025-08-01 20:15:00,ADA-USD,B,10000,0.45,4500.00,SETTLED
EXT-9004,2025-08-01 21:00:00,XRP-USD,S,5000,0.58,2900.00,CANCELLED
EXT-9005,2025-08-01 21:45:00,BTC-USD,B,0.05,65400,3270.00,SETTLED
EXT-9006,2025-08-01 22:30:00,SOL-USD,B,40,185,7400.00,SETTLED
EXT-9007,2025-08-01 23:15:00,ETH-USD,S,1.5,3300,4950.00,SETTLED
